home,parent_node,name,value
Uppsala län,low,Skåne län,"0,02"
Värmlands län,low,Värmlands län,"0,66"
Värmlands län,low,Västra Götalands län,"0,09"
Värmlands län,low,Örebro län,"0,04"
Värmlands län,low,Skåne län,"0,03"
Värmlands län,low,Stockholms län,"0,03"
Värmlands län,low,Östergötlands län,"0,02"
Västerbottens län,low,Västerbottens län,"0,66"
Västerbottens län,low,Norrbottens län,"0,14"
Västerbottens län,low,Västernorrlands län,"0,03"
Västerbottens län,low,Stockholms län,"0,03"
Västerbottens län,low,Uppsala län,"0,03"
Västerbottens län,low,Västra Götalands län,"0,02"
Västernorrlands län,low,Västernorrlands län,"0,48"
Västernorrlands län,low,Västerbottens län,"0,22"
Västernorrlands län,low,Stockholms län,"0,05"
Västernorrlands län,low,Norrbottens län,"0,04"
Västernorrlands län,low,Uppsala län,"0,04"
Västernorrlands län,low,Västra Götalands län,"0,03"
Västmanlands län,low,Västmanlands län,"0,34"
Västmanlands län,low,Uppsala län,"0,12"
Västmanlands län,low,Stockholms län,"0,11"
Västmanlands län,low,Södermanlands län,"0,08"
Västmanlands län,low,Örebro län,"0,06"
Västmanlands län,low,Dalarnas län,"0,05"
Västra Götalands län,low,Västra Götalands län,"0,61"
Västra Götalands län,low,Värmlands län,"0,05"
Västra Götalands län,low,Jönköpings län,"0,05"
Västra Götalands län,low,Stockholms län,"0,04"
Västra Götalands län,low,Skåne län,"0,04"
Västra Götalands län,low,Hallands län,"0,03"
Örebro län,low,Örebro län,"0,54"
Örebro län,low,Stockholms län,"0,08"
Örebro län,low,Västra Götalands län,"0,08"
Örebro län,low,Värmlands län,"0,06"
Örebro län,low,Uppsala län,"0,04"
Örebro län,low,Skåne län,"0,03"
Östergötlands län,low,Östergötlands län,"0,46"
Östergötlands län,low,Stockholms län,"0,08"
Östergötlands län,low,Örebro län,"0,06"
Östergötlands län,low,Västra Götalands län,"0,06"
Östergötlands län,low,Skåne län,"0,05"
Östergötlands län,low,Jönköpings län,"0,04"
